"batch_size","best_epoch","dropout","dropout_lstm","english_lstm","epochs","german_lstm","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"512","14","0.17","0.0","512","250","256","[512, 1024, 256, 128]","0.00034199999999999996","0.5608646869659424","0.8758141994476318","0.09411128610372543","0.9358494281768799"
"256","12","0.09","0.42","32","250","512","[1024]","0.0009519999999999999","0.520943820476532","0.7263105511665344","0.14372332394123077","0.8522385358810425"
"128","17","0.11","0.24","32","250","64","[1024, 64, 128]","0.00069","0.5295169949531555","0.792231559753418","0.055864445865154266","0.8900738954544067"
"64","8","0.44","0.32","32","250","128","[128, 512]","0.000651","0.5427656173706055","0.7457888126373291","0.16053371131420135","0.863590657711029"
"128","16","0.4","0.42","512","250","128","[64, 128, 512]","0.000195","0.5339293479919434","0.7850993871688843","0.09385526180267334","0.8860583305358887"
"32","11","0.29","0.34","64","250","128","[512, 128]","0.0006839999999999999","0.5083426833152771","0.7452638149261475","0.11031944304704666","0.8632866144180298"
"32","8","0.32","0.34","64","250","64","[256, 64, 1024, 128]","0.000877","0.5226423144340515","0.7501978278160095","-0.09116294234991074","0.8661395907402039"
"128","15","0.15","0.17","512","250","128","[128, 64, 512]","1.7e-05","0.5212492942810059","0.7832878232002258","0.12801441550254822","0.885035514831543"
"512","23","0.31","0.05","256","250","512","[64, 256]","0.00045099999999999996","0.5553427338600159","0.882182240486145","0.06830853223800659","0.9392455816268921"
"128","27","0.15","0.25","512","250","512","[512, 64]","0.000457","0.5545688271522522","0.7867512106895447","0.08859114348888397","0.886989951133728"
"64","16","0.3","0.31","128","250","256","[1024]","0.00033299999999999996","0.5501317381858826","0.7976297736167908","0.10637165606021881","0.8931012153625488"
"512","17","0.08","0.47000000000000003","32","250","64","[128, 256]","0.000979","0.5642783045768738","0.8795503377914429","0.09222187101840973","0.9378434419631958"
"128","14","0.06","0.32","32","250","64","[128, 256, 64]","0.000423","0.5202943086624146","0.7933365106582642","0.10733621567487717","0.8906943798065186"
"256","15","0.46","0.35000000000000003","256","250","64","[64]","0.0009419999999999999","0.5100903511047363","0.7329709529876709","0.10908437520265579","0.856137216091156"
"32","7","0.02","0.47000000000000003","128","250","256","[64, 256, 512]","6.4e-05","0.5364998579025269","0.7313801050186157","0.14289066195487976","0.855207622051239"
"64","6","0.19","0.38","32","250","512","[64]","0.00057","0.553982675075531","0.7504116296768188","0.1531897634267807","0.8662630319595337"
"64","8","0.38","0.49","32","250","256","[256]","0.000251","0.5482311248779297","0.7500289678573608","0.15002374351024628","0.8660421371459961"
"256","33","0.44","0.38","128","250","512","[256, 512, 64, 128]","0.00044199999999999996","0.5108351111412048","0.7369031310081482","0.04989001527428627","0.8584306240081787"
"64","5","0.27","0.31","128","250","64","[128, 1024]","0.000913","0.5289371609687805","0.7600265741348267","0.09353531897068024","0.8717950582504272"
"512","38","0.02","0.43","512","250","512","[128, 1024, 256]","0.000838","0.5671758651733398","0.862634539604187","0.1588461846113205","0.9287812113761902"
"32","7","0.23","0.03","512","250","256","[512, 64, 128, 1024]","0.000217","0.5283634662628174","0.7368986010551453","0.12863996624946594","0.8584280014038086"
"64","11","0.0","0.02","256","250","32","[128, 512]","0.0008979999999999999","0.5646339058876038","0.7668429613113403","0.1356004923582077","0.8756957054138184"
"128","17","0.21","0.3","64","250","32","[256]","0.000143","0.5299865007400513","0.7884584665298462","0.10016309469938278","0.8879518508911133"
"64","8","0.09","0.32","64","250","32","[256]","0.00019899999999999999","0.5423325896263123","0.7542417049407959","0.12501169741153717","0.8684709072113037"
"256","35","0.46","0.02","128","250","32","[256, 64, 128]","0.00019899999999999999","0.5127449631690979","0.7585268020629883","0.051874399185180664","0.8709344267845154"
"256","6","0.45","0.4","32","250","128","[64, 512]","0.0007239999999999999","0.5274670720100403","0.7269449830055237","0.10556856542825699","0.85261070728302"
"512","18","0.38","0.46","64","250","64","[128, 1024]","0.000899","0.5621666312217712","0.8797853589057922","0.0827942043542862","0.9379687309265137"
"64","4","0.34","0.37","512","250","512","[256, 1024, 512, 128]","0.00046199999999999995","0.5515199899673462","0.7542584538459778","0.12624233961105347","0.8684805631637573"
