"batch_size","best_epoch","bidirectional","dropout","dropout_lstm","english_lstm","epochs","german_lstm","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"256","11","True","0.42","0.17","32","500","64","[32]","0.000461","0.5122221112251282","0.7390007376670837","0.12776561081409454","0.859651505947113"
"512","11","False","0.38","0.08","64","500","128","[128, 512, 256, 64]","0.000874","0.5307436585426331","0.7312855124473572","0.1448286473751068","0.8551523089408875"
"32","14","True","0.21","0.3","64","500","64","[64]","4.4e-05","0.5330021977424622","0.7316120862960815","0.10979586094617844","0.8553432822227478"
"512","25","False","0.26","0.21","512","500","256","[32, 256, 512, 64]","0.000552","0.51584792137146","0.7468145489692688","0.08472149074077606","0.8641843199729919"
"128","20","False","0.46","0.39","256","500","256","[128, 512, 32, 64]","0.000765","0.5202726125717163","0.7465429902076721","0.00876140221953392","0.864027202129364"
"64","4","False","0.08","0.0","64","500","128","[128, 32]","0.0005369999999999999","0.5073016285896301","0.7320348024368286","0.16221030056476593","0.8555903434753418"
"256","7","True","0.21","0.37","512","500","64","[512, 32]","0.00010999999999999999","0.5396361947059631","0.7304357886314392","0.15556997060775757","0.854655385017395"
"512","7","True","0.1","0.09","128","500","64","[32, 256]","0.0005239999999999999","0.5564484596252441","0.735154926776886","0.15671494603157043","0.8574117422103882"
"64","16","False","0.22","0.18","512","500","64","[128, 32, 512]","0.000673","0.5091898441314697","0.7542213201522827","0.11184190213680267","0.868459165096283"
"512","11","False","0.2","0.06","256","500","128","[32]","0.000986","0.5311259627342224","0.7447578310966492","0.10077262669801712","0.8629935383796692"
"256","4","True","0.06","0.24","64","500","64","[256, 512]","0.000563","0.5210903286933899","0.7415649890899658","0.12409192323684692","0.8611416816711426"
"64","8","True","0.44","0.37","64","500","64","[32, 256, 128]","0.00035299999999999996","0.5276544094085693","0.7282746434211731","0.17069415748119354","0.853390097618103"
"32","4","True","0.15","0.34","128","500","512","[64, 128, 512, 256]","0.000481","0.5151002407073975","0.7307825088500977","0.1413261443376541","0.8548581600189209"
"64","4","True","0.14","0.13","256","500","128","[64, 512, 32, 128]","0.000888","0.5089854001998901","0.7363412976264954","0.1409955471754074","0.858103334903717"
