"batch_size","best_epoch","dropout","epochs","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"512","3","0.29","250","[256]","0.0007379999999999999","0.5174518823623657","0.7298619151115417","0.1500377506017685","0.8543195724487305"
"128","2","0.0","250","[512]","0.000531","0.5010111331939697","0.7451567649841309","0.13492150604724884","0.8632246255874634"
"256","6","0.17","250","[512, 64]","0.000183","0.5015977621078491","0.741539716720581","0.14035668969154358","0.8611270189285278"
"32","2","0.05","250","[1024]","0.000252","0.5199442505836487","0.7297108769416809","0.1645149439573288","0.8542311787605286"
"128","196","0.4","250","[64, 128]","1.1e-05","0.5088538527488708","0.7350505590438843","0.1545952558517456","0.8573508858680725"
"512","3","0.05","250","[512]","0.0008219999999999999","0.4970775246620178","0.7504733204841614","0.13345547020435333","0.8662986159324646"
"128","4","0.34","250","[512, 1024, 128]","0.000753","0.768979012966156","1.1655900478363037","0.1569390594959259","1.0796250104904175"
"256","4","0.24","250","[1024, 128, 512, 256]","0.000699","0.5509594082832336","0.8398842811584473","0.16649235785007477","0.9164519906044006"
"512","7","0.14","250","[64, 128]","0.000985","0.508882999420166","0.7402446269989014","0.12700045108795166","0.8603746891021729"
"32","2","0.03","250","[512, 64, 256]","0.000864","0.7016041278839111","1.0159406661987305","0.1626831740140915","1.0079388618469238"
"512","3","0.03","250","[512, 256, 1024]","9.9e-05","0.5352348685264587","0.7397543787956238","0.15289874374866486","0.8600897789001465"
"256","54","0.05","250","[1024, 64, 512]","4e-06","0.5238677859306335","0.7425773739814758","0.15558815002441406","0.8617292642593384"
"256","6","0.42","250","[64, 512]","0.00077","0.4928131103515625","0.7636128664016724","0.1392960101366043","0.8738494515419006"
"512","3","0.13","250","[512]","0.00016099999999999998","0.5172184109687805","0.7330464124679565","0.1434435099363327","0.8561813235282898"
"32","2","0.03","250","[512, 256, 128]","0.000513","0.7092655897140503","0.9083088636398315","0.15876054763793945","0.9530524015426636"
"128","25","0.29","250","[64, 256, 512, 128]","7.5e-05","0.5154675841331482","0.7366776466369629","0.13285811245441437","0.8582992553710938"
"512","3","0.1","250","[1024, 512, 128]","0.000743","0.5669541358947754","0.8583747148513794","0.1521625816822052","0.9264851212501526"
"128","4","0.4","250","[64, 256, 512]","0.000585","0.527305543422699","0.7613819241523743","0.1412067413330078","0.8725720047950745"
"64","11","0.49","250","[64, 256, 512, 128]","0.000859","0.9991300702095032","1.7808912992477417","0.11610057204961777","1.3345004320144653"
"256","4","0.08","250","[64, 1024, 512, 128]","0.0008709999999999999","0.5510244369506836","0.7649274468421936","0.13915911316871643","0.8746013045310974"
