"batch_size","best_epoch","dropout","epochs","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"32","4","0.1","250","[256, 128, 512]","0.00037799999999999997","0.5279345512390137","0.7321832776069641","0.13371644914150238","0.85567706823349"
"128","3","0.23","250","[256, 1024, 128]","0.0008619999999999999","0.5502973198890686","0.7289392352104187","0.1820879876613617","0.8537793755531311"
"32","4","0.29","250","[256, 128, 512, 1024]","0.00047999999999999996","0.5134875774383545","0.726489782333374","0.15290901064872742","0.8523436784744263"
"64","4","0.13","250","[256, 128, 64, 1024]","0.00024099999999999998","0.5125182867050171","0.7274914979934692","0.16676658391952515","0.8529311418533325"
"128","4","0.13","250","[128, 512, 1024]","0.000538","0.52275550365448","0.7291373610496521","0.15862293541431427","0.8538954257965088"
"128","6","0.42","250","[256, 1024, 128]","0.000294","0.5111181735992432","0.7279373407363892","0.17400884628295898","0.8531924486160278"
"512","15","0.06","250","[256, 128]","0.000308","0.5165783166885376","0.7238389849662781","0.17609354853630066","0.8507872819900513"
"32","4","0.13","250","[128]","0.000838","0.5338038802146912","0.7309002876281738","0.12913843989372253","0.8549270629882812"
"32","4","0.26","250","[64, 256, 1024, 512]","0.0005279999999999999","0.5309138298034668","0.7364195585250854","0.117289699614048","0.8581489324569702"
"128","4","0.18","250","[512, 1024, 64, 128]","0.000384","0.5205060243606567","0.7257676124572754","0.17390026152133942","0.851919949054718"
"32","4","0.44","250","[64, 128]","0.000468","0.508979856967926","0.7307766675949097","0.1465376317501068","0.8548547625541687"
"64","7","0.25","250","[64]","0.000677","0.5448939800262451","0.7329587936401367","0.13985450565814972","0.8561301231384277"
"64","4","0.37","250","[64, 512, 128, 1024]","0.00042699999999999997","0.5137656331062317","0.733512282371521","0.1390550285577774","0.8564532995223999"
"64","2","0.28","250","[64]","0.000771","0.5319019556045532","0.7325091361999512","0.1274728775024414","0.8558675050735474"
"32","9","0.37","250","[256, 64, 128, 512]","0.00016999999999999999","0.5330623388290405","0.7274389266967773","0.1516426056623459","0.8529003262519836"
